No,Case
11,لا ماكلة فوقتها، لا نعاس فوقتوثلاجتها عامرة بواطات كلشي كيتكونجوليه من الخبز تال المرقةأكلتها المفضلة الروز مسلوق بالبيض و الطون و شعرية إندومي.حلمها هو دير بيرمي و تشري كليو فالغوز و دفع فشي برطما، باش تفقس المحسادات فعائلتها و حومتها و صحاباتها فالإنستغرام.فلوسها كيمشيو فالماكياج و فالقيساريات، الماريو ديالها عامر غا يطرطق.شعارها سترونغ إندبندت وومن و فنفس الوقت كاع الشوافات و الفقهة عندها نوامرهم.تدوي معاها تقول ليك أنا مرا ناجحة فحياتي و واصلة، بصاليري حياتها عذاب، كتخرج مع السبعة و كترجع مع الستة، كتسخن الإندومي و جوج بيضات مسلوقين و كطيح.مع توالي فشل علاقاتها العاطفية كتولي تحس بالعالم كلو حاضيها، كتعمر راسها بالسحور و الحسد و الغيرة و الغدر حيت هي موظفة بدارها بطوموبيلتها.مع السنوات كيتجمعوا فيها كاع أمراض العصر، فقر الدم و القولون و إنزلاق الغضروف.كتولي معصبة و مقلقة، الهرمونات كيتخربقواعنداك يزغبك الله و تقول هادي هي لمرا ديال الزمان، كحلتيهانوض طيب لينا لعشا راني عيانة مدكدكةصاليري ما تسولنيش عليهحدك تما أخر مرة تهز عليا صوتك،ياك ما يحساب ليك جبتيني خدامة، انا راه موظفة و برزقي.يعيط ليها المدير تنوض كتجري مرعودة للتلفون.نهار دير معاها وليدات، غرقتي ديال بصاحمع أول موشكيل غا تخليك تا تمشي للخدمة و  تعيّط لحميد مول الكاميوغا تخلي ليك غا المقابط د النشير و عصا مهرسة ديال الشطابة.و فاش تلاقاها فالجلسة فالمحكمة تحط للقاضي شربيل مقلوب.منقول
12,ممكن استشاره قانونية من محامي بخصوص ( إثبات تاريخ عقد ايجار )؟
13,دفعة شكاية مستعجلة فالمحكمة الإبتدائية وتكاشات وخرجات نسخة ليا دابا 3 الأيام بغيت نعرف فين خاصني نمشي دابا
14,سلام عليكم انا صاحبي دفع طلاق فمدينتو وهو داير العقد فمدينة الزوجة ديالو واش يمكن الزوجة ديالو تحول الملف المدينة لي دارو فيها العقد قبل الجلسة الاولى مع العلم الجلسة الاولى باقي ليها 15 يوم ؟ ولا المدينة لي رفع فيها طلاق هي فين كتحكم القضية ؟
15,السلام عليكمأنا هادي 6 أشهر و هي مسحوبة ليا رخصة السياقة حاليا كمل الوقت المحدد  لي عارف شنوهما الإجراءات لي خاصني نديرها  الله يجازيكم بخير
16,السلام عليكم بعد إذن الأدمنعندي استشارة و عايزلها حلانا كنت شاري عربية من واحد وعليها فلوسالمهم اختصار للكلام دة كلهالعربية بتاعت ابوياو الراجل كنا ماضيينله ع 6 وصولات ع الابيض ضمان للكمبيالاتللعلم احنا معانا عقد مسجل خالص التمن من الراجل ل أبويابعد م استلم فلوسهولاعبنا بالوصولاتالمهم رفعهم عليا و على ابويارافع الوصولات بإسمه هوو انا معايا الكمبيلات بنفس خط ايده ومعايا العقد الأبتدائي و المسجل و كل دة ف حافظة قدمناها للقاضي ف المعارضة ف اقتنع بكلامنا بس النصيب طعنت ف الصلب و التوقيع  والتقرير اتأخر شوية المهم جه بس يوم الجلسة المحامي محضرش لسببآ ما.القاضي كان محول القضية للتحقيقيعني لمصلحتي لان تقرير الطب الشرعي جه ب ان التوقيع مغاير للصلب و الصلب مكتوب بعد التوقيع بفترة زمنية طويلةالقاضي نده ع المحامي كذا مرة وفي الآخر قبول و رفض و تأييددلوقتي انا استأنفتهل قاضي الأستئناف هيحولها برضه للتحقيق ولا انا ونصيبي ف القفص
17,السلام عليكم … اذا ممكن احد يفهمني اخوية بي متلازمة داون واخوية الثاني مهاجر خارج العراق وبعد ميرجع وابوية ميت وامي مراة كبيرة بالسن اني موظف حكومي هل من حقي وفق قانون رعاية ذوي الاعاقة اخذ اجازة براتب كامل ؟ وماهي الشروط ؟ ( اخوية مياخذ راتب رعاية اجتماعية وانما راتب ابوية التقاعدي ) ( حالياً امي هي الراعية الرسمية لاخوية وهي الي تستلم راتبة ) الوصاية لأمي شكراً
18,والدي متوفي و رخصة عربيته انتهت و عايزين نجددها والدتي راحت عشان تجددها فالمرور قالو اني لازم ابقا موجودة و انا صعب اني انزل لاسباب خاصة هل في حل للموضوع دا و لو هعمل توكيل لوالدتي ينفع اعمله من غير ما روح الشهر العقاري لو حد عنده حل ضروري
19,مطلوب محام جدول لمكتب صباحى يشترط قرب السكن من آخر فيصل التواصل خاص
20,هل موجود هنا اي محامي /ة مغربي ويفضل يكون قريب من الرباط او سلا  ؟
21,مهم جدا الاحتفاظ بهذا البوست فقد تحتاجه في اي وقت لحين الحاجه اليه حسب الظروف لن تخسر شئ في الاحتفاظ به وشكرا لانجااااز جميــــع اعمالكــــم القضائية مــن حضــور جلسات الى القيام بالاعمال الادارية الى كافة الامور القضائية في حالة وجود ضغط شغل او تصادف جلسات تواصل معي هحلهالك متقلقش  .مساء الخير محام استئناف على استعداد تام لحضور كافة الجلسات ورفع الدعاوى وإنجاز الأعمال الإدارية وحضور التحقيقات وتصوير الدعاوي والحصول علي الصور الرسميه من المحاضر والأحكام بتوكيل خاص وغيرها من الأعمال الاداريه ومباشرة عملك كما لو انك بنفسك تباشره في جميع محاكم القاهرة والجيزة.مستعد للسفر للمحافظات باتفاق مسبق.مستعد لكتابة صحف الدعاوى والعقود والإنذارات والمذكرات القانونية. أتّصف باحترام المواعيد والالتزام. المقابل المادي:مائة جنيه على المشوار + ثمن المواصلات بمحاكم القاهره والجيزه فقط  السفر لباقي المحافظات حسب الاتفاق المسبق للتواصل فون او واتس عن طريق الرقم الاتي:  01123807843 او المراسله عن طريق الصفحه وشكرا للجميع واتمني اقتصار الرد علي الطلبات فقط وليس للانتقاد الذي ليس له معني ولن التفت اليه فوفر انتقادك  لنفسك واتمني التوفيق للجميع
22,السلام عليكماستشارة منقولة لقد تم قبولي في أحدى الكليات الخاصة وعند مراجعتي للكلية لقد أخبروني أن تم الغاء التخصص وخيروني بالانتقال  لتخصص آخر ولكنني رفضت داير رأيكم القانوني والمعنوي للمشكلة دي الصورة لفت انتباه
23,السلام عليكم هو ممكن حد يقولى النيابه الحذبيه دى فين فى اسكندريه ولو حابه اعمل وصايا لاابنى ايه اللى ممكن اعملوا ضروري بعد اذنكم
24,"عندما تحرمك زوجتك او طليقتك من صلة الرحم بابنائك فيمكنك اللجوء الى المساطير القانونية و تصبر لأنك لن ترى ابناءك خلال مدة طويلة و عليك بالصبر ثم الصبر ..  و رغم تنقلاتك كل أسبوع الى عنوان تسلم و ارجاع الأبناء لن تتسلمهم و قد يفرض عليك مفوض قضائي من طرف طليقتك أو يمكنها و عائلتها استفزازك و سبك و شتمك و تهديدك لكي تقوم برد فعل يعاقب عليه القانون و تنقلب الكفة ضدك و تمر من خانة ""الحبس"".  . أو تبقى تنتضر و تطرق الباب و ترن على الجرس بدون أن يفتح أي شخص الباب. و ما عليك إلا أن تنتقل رفقة  موفض قضائي لكي تسلمه طليقتك شهادة طبية.  . أو يخرج احد من افراض عائلتها و يصرح انها قد دهبت للحمام أو لزيارة العائلة رفقة الأبناء. و كل مرة حيلة جديدة،  رغم الامتناعات و المحاضير لن تراهم و عليك بالصبر الى حين اتباث الامتناع و إسقاط حضانتها و حتى صدور الحكم النهائي. .  و شوف الى صبرتي على  قبل  هادشي. و نهار لي يشوفوك يقولون لك أبنائك: من أنت؟ وقيل داكشي علاش بزاف من لول كا يغبرو أو تا يولدوا أبناء آخرين لأنه عارف راسو مناش خاصو ادوز و يبقى صابر. . و الله يرضي على من لا توصلك الى حرمانك من كبدك.  . و يجب أن نذكر "" لا سيما أن بعض الموضفون و رجال العدالة لا زالوا يعتقدون أن مدونة الأسرة خاصة بالنساء"" من خطاب صاحب الجلالة نصره الله. . راه حضور الأم و حضور الأب لازم في حياة الأبناء سواء كانو  متزوجين أو مطلقين. راه هذه هي المصلحة الفضلى للأبناء وجب تعديل القانون في هذا الشق أيضا. و إعطاء الأباء حقوق فالواجبات نعرفها. . والسلام عليكم ورحمة الله وبركاته"
25,لو سمحت مفيش قانون رؤيه الام لبنتها المتزوجه ال جوزها حرمها من امها
26,استشاره لو سمحتم للاساتذه المحامينبخصوص برامج التمويل زي فاليو وسهوله عشان القبول محتاجين ميدياكال ومفردات مرتب ينفع اعمله وانا مش موظف عشان في حد قالي اعمله لك،بس مش عايز أتعرض لأي مشاكل قانونية
27,ما هي الاوراق المطلوبه لإقامة دعوي محو بيانات لشخص متوفي كان محكوم عليه و من لهم حق إقامة الدعوي من أقاربه ؟؟
28,سلام عليكم عفاكم بغيت نسولكم بابا كان وقعات ليه حادثة ف 2019 و تعرس فصبعو ودار الحديد عند واحد سيد كان خدام عندو و هداك سيد نكرو و لكن بابا كان عندو أظلة مشينا درنا محامي و ف 2021 خرجات مليون و60ألف ريال و المحامي كالينا غادي نعاودو ندعيوه على التأخير و البارح عيط المحامي لبابا باش يمشي عندو و كاليه خرجات ليك6 مليون و لكن خاصك تقسمها معايا لاش ميستانفوش و كلس كيخربق عليه  وكاليه تكتب ليا شي ورقة باش نجيب ليك شيك مع العلم الشيك ليكان خرج المرة لولة مكالش ليه هاكا و حتى هو راه كيخرج ليه شيك ديالو بوحدو اشنو ممكن نديرو فهاد الحالة؟
29,السلام عليكم ورحمة الله وبركاته فى حالة ان عميل اشترى ارض زراعية من شركة استصلاح اراضى والشركة كانت حطة عليه شروط زاى نسبة الزراعة المنزرعة ومصاريف اخرى كشق طريق ومصاريف ادراية ثم الشركة داية صفت واغلق سجلها  وسلمت البطاقة الضربية  و قام بعض الشركاء بانشاء شركة باسم قريب ونقل الاراضى الباقية فى حيزتها الغير مباعة هل يحق للشركة الجديدة ان تطالب عملاء الشركة القديمة باى بنود وشروط سابقة تحق للشركة القديمة ام كدا سقطت كل الشروط والالتزامات على العميل السابق ذكرها ويعتبر هو حر الان من كل ذلك؟
30,بغيت كونطاك شي محامي ولا محامية قنيطرة امر مستعجل الله خليكم
31,توعية قانونية وردا علي إحدي رسائل الصفحةانتبه ايها المالك....لو انت مالك لعقار وهتأجر إوعي تقول مش هكتب عقد إيجار علشان أطلعه وقت ما أحب وهنا قد تتعرض لخطورة الإحتجاج بوضع اليد خاصة لو طالت الفتره ..أو لدعوي إثبات علاقة إيجاريه من المستأجر ويعطى له عدد سنوات حسب ظروف الدعوي...وشكرا
32,انا مؤجر شقة لواحد ... والعقد هيخلص كمان شهر وهو قاللي انه خلاص هيمشي ان شاء الله... اتفاجأت الأسبوع اللي فات ان حد لابس بدلة ومعاه شنطة جه البيت يسأل عليه عشان يتأكد ويتطمن هل هو مقيم هنا فعلا ولا لأ ، وهل هو قاعد هنا علي طول ولا لأ ... وللأسف قابل حد من السكان وقاله اه هو قاعد هنا وقاعد بقتله فترة ومقيم هنا علي طول ... والساكن ده ميعرفش حاجة اصلا ... إيه الاجراءات اللي انا اعملها عشان احفظ بيها شقتي واضمنها لحسن يكون عليها اي ضرر ؟وايه انواع الضرر اللي ممكن يقع علي شقتي من موقف زي ده ؟
33,الساده الزملاء الافاضل.. قضيه أصابه خطأ تم توجيه للمتهم... ١ أصابه خطأ. ٢قياده بدون رخصه تسير ٣.قياده بدون رخصه قياده. ٤.اتلاف دراجه بخاريه.. تم الحكم في القضيه برائه المتهم عن الاصابه الخطأ والاتلاف وتم تغريمه عن التهم الأخري .... ١٠٠٠ جنيه للرخصه تسييرو١٠٠٠جنيه رخصه قياده. هل يحق للنيابه العامه استئناف هذا الحكم علما بأني محامى المجني عليهم وماهيه الإجراءات المتبعه في ذلك
34,تم الحكم على المدعي عليه بالتعويض و لم ينفذ و لم يقم بالسداد و ليس لديه أي حسابات بالبنوك أو ممتلكات عقارية .. ما الحل
35,"لو سمحتوا محتاج اجابة معلش على كام نقطة .دلوقتى فى حد اسس شركة ذات مسؤلية محدوده و طلع بطاقة و سجل مكتوب فيه ان هو اللى يحق ليه التعامل و التوقيع باسم الشركة و كل حاجه وعرض عليا ادخل معاه بعدد اسهم السؤال بقا .1- بيقولى هيعملى عقد بالمبلغ اللى هدفعه و كدا هل ده الصح ؟ 2-هل بعد كدا المفروض يتضاف اسمى فى الجدول اللى بيكون فى شهاده تأسيس الشركة بعد كدا فى مستخرج من هيئة الاستثمار زى الصورة المرفقة ؟3- لو حبيت اخرج بعد مثلا 3 سنين هاخد نفس المبلغ اللى كنت داخل بيه اللى هوا مثلا 50,000ج على اعتبار انى خدت ارباح 3 سنين هل ده صح ولا المفروض يكون قيمة الشركة زادت والمفروض يكون لو خرجت حقى اكبر من كدا فى قيمة الحصه بتاعتى ؟معلش طولت عليكم و شكرا"
36,أريد خبير قانوني يدلني على كيفية إنهاء هذه المشكلة ، مدرسة أصبحت إرثا مقسما، استغل فيها غالبية المدرسين الأوائل هذا المنصب، وقاموا بمحاباة معلمين في توزيع الفصول على حساب آخرين ، ثانيا : فرض الكثير مصالحهم الخارجية على حساب العمل داخل المدرسة ، لذا فكثير من الحصص لا يدخلها المعلم إذا تعارض وقت الحصة مع مصلحة خارج المدرسة ، وصل استخفاف هؤلاء إلى حد أنهم يشعرون الجميع أن المدرسة ملك لهم لا ملك الدولة ، وأسلحتهم أقوى بكثير أولا هم يعلنونها صريحة أنهم يستطيعون تلفيق التهم والشهادة بالزور عليها أنها حدثت، ثانيا القدرة أيضاً على الظهور مع تهديد الغير وإقصاؤه، ثالثا : الاستعداد الشديد لهدم العملية التعليمية من خلال ١- إشعار الطالب أن الكنترول بأيديهم لذا فأعمال السنة لا تهم أبدا لأنه من السهل جدا عمل كشوفات أخرى ، ٢- مساواة من ذاكر بمن لم يذاكر لأن الغش في الامتحان سيكون متاحا ومفتوحا بكل أنواعه حتى الكتابة بخط يد الملاحظ، هؤلاء كونو مراكز قوة تنافي إرادة الدولة وسيادتها، واعتمدوا على علاقة غير شرعية قائمة علنا بين المعلم الغاش و ولي الأمر الذي يريد أن يحصل على شهادة حكومية بالمجان، دون مجهود ، بمبلغ زهيد جدا وهو دفع أجر شهري للمعلم وإن لم يحضر الطالب دروسه الخاصة ، هذه كلها جرائم تهدد أمن الدولة وبقاءها ، ومع هذا كله من العسير إثبات شيء مما قلته ، لأن الممالأة على هذا الإثم تامة الأركان بين هؤلاء وأولياء الأمور ، وما قلته مماراسات لا تثبت بأوراق وإنما هو في القانون محض ادعاء ، لذا فإن هذا الادعاء لا يمكن إثباته بدليل ، فهل هناك قانون يثبت هذا الادعاء كحالة ثم يوجب على حماة القانون فرض مراقبة مشددة شديدة السرية حتى يتم ضبط هذه الممارسات ومحاسبة مرتكبيها ؟
37,سلام عليكم .   استشارة من السادة اصحاب الخبرة ... دلوقتى انا باشترى شقه لابنى وسنه صغير وعاوز اسجلها شهر عقارى باسمه ..محامى الشركة اللى اشتريت منها هو اللى حايسجلهالى ...هو قام بتغيير العقد بانه عمله مابين ٣ اطراف ...( الشركه طرف اول وانا طرف تانى كمشترى وواهب ..والطرف التالت برضه انا كواهب لابنى ) هل العقد كده مظبوط ولا ايه ؟؟؟ وهل ممكن يسبب له مشاكل مستقبليه ..ولا كده تمام ....شاكر جدا للافاده من اصحاب الخبره
38,Slm wax imkn ndir rsam lwahd lmlk bla mirat
39,هشتري شقة .ويوجد خلافات بين الزوج والزوجه أصحاب الشقة..وخايفة بعد البيع الزوجه تعمل قرار تمكين..ورافضة تمضي شاهدة على عقد البيع...محتاجه بند في العقد يضمن حقي
40,انا عامل صحت توقيع لقطعت ارض مبانى والعقد وحكم المحكمه ضاع منى اعمل ايه
41,انا موظف وكنت داخل لوكيل وزارة فى مشكله فوجئت بكلامه معى بكل سخرية ويقول ايه دا انت تنفع تشتغل وزير انا اقوم وانت تيجى تقعد على الكرسى مكانى وكان قاعد معاه موظف اخر وكل مايقول حاجه يبصله ويضحك ويقوله مش كده ولا ايه هل هذا يعتبر تنمر وكيف اخد حقى منه
42,السلام عليكممحمامى اخذ اتعابه  لينهى كل القواضى امام لجنه صلح من 4 سنين ودلوقتى يجيلى ورقه بتسديد مبلغ نفقه زوجىه  لسنتة 2018عايز حل قانونى مع المحامى ده
43,مساء الخير والله ياخوتي حابة استشارة كاين واحد كاري شقة بدون كتابة عند موثق ومع العلم صاحبة الشقة في فرنسا والمتكفلين بيها هم اهلها وفجأة جات هي وبنتها من فرنسا وراحت هي وبنتها عند الناس الي مأجرتلهم الشقة ودور من غرفة لغرفة ومبعد قالتلهم نورمالمو صبغتولي الدار متخليوهاش بالصبغة الاولى ولاو قالولها انتي مأجرتنا نخلصوك فاللكرا ونزيدو نعدلوهالك راهي دارك مايش دارنا ولات قالتلهم مالا كيعادت داري اخرجو منها غدوة اصباح منلقاكمش فيها ومع العلم هي وقيلا مايش ملك الشقة لان كل دورة على دورة تجي ورقة فيها اصوم باه تخلصها صاحبت الدار وانذارات السؤال هل في هاذي الحالة يخرجو من دارها او يبقاو لانهم بين نهار وليلة موحال رح يلقو دار خلاف وزيد فالشتاء وين يروحو مساكن الي يعرف القانون ينصحني لوجه الله
44,الاخوان فيدوني الله اجازيكم بيخير بغينا ندخلو لما للدار و الدار فسمية الواليد الله ارحمو و خاصنا نكتبو وكالة للام ديالي انا و خوتي و معرفتش كفاشبغيت نكتبها غير راسي بحكم العدول بعيد علينا و حنا كنتجمعو غا فالليللي عندو شي نموذج كيفاش نكتبها يشاركو معايا و شكرا جزيييلا 
45,سلام عليكم واحد سيدة تانسالها 4 مليون ولكن دابة عام مزال مابات تعطيني فلوسي شنو نقدر ندير و انا ماعندي حتا اثبات بين عطيتها
46,سلام الله عليكمحصلت على حكم طرد اول درجه قام المستأجر باستناف الحكم  والان عمل دعوى تمكين وطلب شهاده الجيرانهل هناك من حل
47,بسم الله الرحمن الرحيم . ارجو الافادةانا واحد قربيى عامل فيا محضر ضرب وتقرير طبي فى مركز غير مركزى وجايب اثنين شهود ذور وخدهوم على النيابة وخدو اقولهم ومضو وبصمو
48,جالي جواب من المحكمة امبارح بيقول لابد من الحضور إلى المحكمة بسرعة لسداد قيمة المطالبة مش عارفة يعني ايه مطالبة بمبلغ ١٠٠وذلك قبل اتخاذ إجراءات الحجز حجز ايه وكلام ايه مش فاهمة انا عاملة قضية ضد اخواتي من سنين عشان واخدين حقي في الأرض وبنوا عليه حد يقولي معنى الجواب ايه عشان راحة المحكمة بكرة ومين اللي بعته هل المحامي بتاعهم اللي بعته
49,#توضيح_بسييط...#بالنسبة (( للنفقة الزوجية )) يعني ايه اتحكملي من #تاريخ_اللجوء لمكتب التسوية ويعني ايه اتحكملي من #تاريخ_رفع الدعوي ... هوضح لحضرتك المفهوم دا ..  يعني لما حضرتك او المحامي قدم طلب لمكتب التسويه انه محتاج يرفع دعوي نفقة زوجية او صغار ودي طبعاً #بتتقيد_بتاريخ_ورقم تسويه ولما بيصدر الحكم في النفقة ممكن يصدر من تاريخ اللجوء لمكتب التسويه ...  اما عن تاريخ رفع الدعوي فدي طبعاً لما المحامي رفع الدعوي بعد طلب التسويه ب 15يوم اقل مده فهنا بنحكم من تاريخ رفع الدعوي ...  طب ايه #فايده دا  ... مفيش حاجه ..كل ال بيحصل ان حضرتك بتزيدي شهر او حاجه من المبلغ ال محكوملك بيه  ... طب هنا ف محاميين بتستلم #الافاده وبترفع الدعوي بعدها بمده مثلا (( شهر او شهرين )) ...  هنا ف #قضاه بياخدوا بيها او ان حضرتك ترفعي تسويه تاني من جديد ...#طب ايه فايده #التاخيير... في ان مش بيتحكملي بسرعه في النفقة وكل شوية #تأجيل ... بالنسبة #للزوجه حضرتك كل ما الدعوي اتاخرت في الحكم فيها دي لمصلحتك عشان #هتعد شهور علي الزوج طبعا  ....  طب بالنسبة #للزوج ايه فايدتها انه ممكن يحصل ( صلح او يحصل اتفاق بينهم وممكن الزوجه تتنازل عن الدعوي ... او الزوج يقدر يثبت عكس اللي مكتوب في عريضة الدعوي ويقدر يقلل المبلغ اللي هيتحكم عليه)... #اي_استفسار ممكن هنا او inbox يعني خاص ...#دمتم_سالمين...
50,ياريت لو موجود معنا من الساده المستشارين من مدينة ٦ اكتوبر يتواصل معي محتاجه في شغل
51,مساء الخير .. دلوقتي لو بدفع اقساط بشيكات في شركة و كان في مشكلة في التوقيع و دفعت المبلغ قبلها ب٢٩ يوم و هما كانوا طالبين قبلها ب٣٠ يوم و تم ثرف الشيك و جالهم عليه رفض في اي اجراء قانوني اقدر اخده ضدهم لانهم صرفوا الشيك رغم اني دافع ؟
52,ساعدوني بالله عليكم لاننا في توتر وقلقانين/اولا في واحد باعت تهديد لاخويا عالواتس برقم غريب هل ينفع ناخد اجراء قانوني نعرف مين صاحب الرقم دا(ملحوظة ان اخويا رد عليه وشتمه فهل الشتيمه دي هتُدين اخويا لو بلغنا فالرقم دا)؟ثانيا فيه رقم بيعاكس اختي وهي مش بترد عليه خالص بس بيبعتلها تهديد برضو ورن عليها من رقم وفضل يشتمها ويسبها كتير ويهددها  ف هل نروح مباحث الانترنت ونجيب تسجيل المكالمه دي ونعرف الشخص دا؟؟
53,ان شاء الله متواجد غدا الخميس ٢٠٢٢/١١/٢٤محكمة النقضفي مساعده اي استاذ زميل مقابل مادي بسيط في احتياجه للاعمال الاداريه هناك. او اي عمل اخر من اعمال المحاماه.
54,سلام عليكومبغيت نفهم شنو مفهوم تقاف عند لمرأةرني حاير الله يسهل عليكم
55,سلام عليكم شي محامي نسولوا الا كان ممكن
56,السلام انا امي بغات تشري  شقة وبغات تكتبها لي في اسمي لاني عندي مرض مزمن لا اشتغل يعني ليس لدي أي دخل بغات تطمن علي في حياتها الأعمار بيد الله ما عرفنا شكون السابق تريد أن أعرف واش ممكن لان اخي دهب عند موثق وقال لينا شي أمور انه يستحيل دلك المرجو منكم الإجابة هل الموثق له الحق في هدا القرار يعني الوالدة باغية بارادتها وهو تيقول ليها ان تكتب الشقة باسمها وشكرا
57,السلام عليكم..أبحث عن محام أمين ، في القاهرة ، يفهم في عقود الإيجار .التواصل خاص لو سمحتم .شكرا
58,دلوقتي بعت سيارة منطقة حرة بعقد مسجل بالشهر العقاري وفوجئت انها لسة علي اسمي بالجمرك بعد عامين تواصلت مع المشتري ابلغني انها اتسرقت وعمل محضر بقسم الزهور اية الحل علشان معايا عربية تانية ومحتاج اسجلها
59,حالات يثبت فيها التلبس في نظر القانون المصري 1- مشاهدة الجريمة لحظة ارتكابها يقصد بها وقت وقوع الجريمة  .2- مشاهدة الجريمة بعد ارتكابها بوقت قصير: كمشاهدة الجاني وهو خارج بالمسروقات حيث لم نشاهده وقت السرقة .3- ملاحقة الجاني بعد وقوع الجريمة: هو إن يلاحق المجني عليه أو المارة الجاني بعد ارتكابه للجريمة مباشرة حتى الإمساك بت فتتوافر فيه حالة التلبس، إما مشاهدة الجاني في وقت أخر وملاحقته والإمساك بت لا يعتبر توافر حالة التلبس .4- مشاهدة الجاني بعد ارتكاب الجريمة بوقت قصير يحمل أشياء تدل على انه مرتكب أو شريك في الجريمة: بأن يشاهد الجاني بعد ارتكابه الجريمة بوقت قصير يحمل في يده آلات تفيد بأنه مرتكب الجريمة .5- مشاهدة الجاني بعد ارتكاب الجريمة بوقت قصير بت اثار تدل على أنه مرتكب الجريمة أو شريك . # مؤسسة عزب للمحاماة والأستشارات القانونية
60,السلام عليكم ورحمة الله وبركاته       الوليد الله ارحمه دارلينا الهيبة أنا أخويا فواحد الدار ولكن السطح منعني فيه خويا سدوه الهيبة ديالي مامدكورش فيه السطح الهيبة ديال خويا مدكور فيه( والسطح فاريغ يندرج على الشياع ) أالهيبة مامحفطى
61,اى شخص لم اعرفه  محتاج مني حاجة يكلمني محتاج حاجة في القانون يكلمني  لو ليك حق وظروفه مش مسعده انك ترفع قضية هتلاقيني جمبك لوجة الله كلمني ابعتلي واتس وقلبك  جامد بدون إحراج او كسوف و كلمني مره و اتنين و عشره علشان ممكن اكون مش عارف ارد او مش واخد بالي من الرسالة ، كلمني بعشم واعرف انك بتكلم اخوك وكلنا بنكمل بعض وحتي لو هتكلمني مره واحده ف حياتك ومتعرفنيش تاني دي حاجة متزعلنيش خالص بالعكس انا بكون مبسوط جدا وشرف ليا ان ربنا جعلني سبب علشان اساعدك ده رقمي 01000922506 وواتس
